actual,claim_id,confidence,correct,expected,hallucinated_rule_count,mlflow_run_id,policy_type,run_name,strategy,test_id
APPROVE,CLM-0012,MEDIUM,True,APPROVE,0,58528658d5cb4fc2a5afd83714400177,life,combined_life_CLM-0012,combined,life_approve
REJECT,CLM-0007,HIGH,True,REJECT,0,2e830985e93f49ab9b7a21f5fbcbbede,life,combined_life_CLM-0007,combined,life_reject
APPROVE,CLM-0052,MEDIUM,True,APPROVE,0,a4fab986557c4cd8879fef297f1632d5,life,combined_life_CLM-0052,combined,life_refer
APPROVE,CLM-0630,MEDIUM,True,APPROVE,0,8a595a58f00c4091a3c9034729a453a2,life,combined_life_CLM-0630,combined,life_edge
REFER_FOR_FURTHER_REVIEW,CLM-0012,HIGH,True,ERROR_OR_GRACEFUL_REJECT,0,fa41ff9821f24d0bad8234fded36c56a,life,combined_life_CLM-0012,combined,life_mismatch
APPROVE,CLM-0008,MEDIUM,True,APPROVE,0,8570574a045d492998fd91f67c08ce84,health,combined_health_CLM-0008,combined,health_approve
REJECT,CLM-0308,HIGH,True,REJECT,0,7304f1118aef496287d02debc25f1428,health,combined_health_CLM-0308,combined,health_reject
APPROVE,CLM-0057,MEDIUM,True,APPROVE,0,6447b62f02ff425fb54f3e5b82c256ff,health,combined_health_CLM-0057,combined,health_refer
REJECT,CLM-0912,MEDIUM,False,APPROVE,0,516b6ef1211142ff8cf2b3f109205443,health,combined_health_CLM-0912,combined,health_edge
REFER_FOR_FURTHER_REVIEW,CLM-0008,HIGH,True,ERROR_OR_GRACEFUL_REJECT,0,17c51e73e5794b21af6c5fa03b410f0c,health,combined_health_CLM-0008,combined,health_mismatch
APPROVE,CLM-0278,HIGH,True,APPROVE,0,9c9cf54f3cd642d892a64963c2f5b99c,critical_illness,combined_critical_illness_CLM-0278,combined,ci_approve
REJECT,CLM-0072,HIGH,True,REJECT,0,1f1409ac04434e0bb5a6fcba89e09c85,critical_illness,combined_critical_illness_CLM-0072,combined,ci_reject
APPROVE,CLM-0049,MEDIUM,True,APPROVE,0,3fb481cd7f2840748b1c1061559e8f1a,critical_illness,combined_critical_illness_CLM-0049,combined,ci_refer
APPROVE,CLM-0134,MEDIUM,False,REJECT,0,3898a5fc27d04a2281a7639c1dda45ca,critical_illness,combined_critical_illness_CLM-0134,combined,ci_edge
REFER_FOR_FURTHER_REVIEW,CLM-0278,HIGH,True,ERROR_OR_GRACEFUL_REJECT,0,fbfc614c0b4d424b8be8977ee8c695a6,critical_illness,combined_critical_illness_CLM-0278,combined,ci_mismatch
APPROVE,CLM-0006,MEDIUM,True,APPROVE,0,e1c2bb0d1e9e4e81a46f9cdeb9b2e8b4,disability,combined_disability_CLM-0006,combined,disability_approve
REJECT,CLM-0612,HIGH,True,REJECT,0,70aa0c799eab4ecfafaf50f49d4e2a69,disability,combined_disability_CLM-0612,combined,disability_reject
REFER_FOR_FURTHER_REVIEW,CLM-0248,LOW,True,REFER_FOR_FURTHER_REVIEW,0,6866b3304aa4417992789e59243d6106,disability,combined_disability_CLM-0248,combined,disability_refer
APPROVE,CLM-0724,MEDIUM,True,APPROVE,0,4545ab9c1f2d413e8c2df542ea4db7d4,disability,combined_disability_CLM-0724,combined,disability_edge
REFER_FOR_FURTHER_REVIEW,CLM-0006,HIGH,True,ERROR_OR_GRACEFUL_REJECT,0,f0db79d59c0f4f86a82ef6b49259cdf5,disability,combined_disability_CLM-0006,combined,disability_mismatch
