actual,claim_id,confidence,correct,expected,hallucinated_rule_count,mlflow_run_id,policy_type,run_name,strategy,test_id
REJECT,CLM-0012,HIGH,False,APPROVE,0,ff268cf2367a4af6a3b12ef4f4c84567,life,combined_life_CLM-0012,combined,life_approve
REJECT,CLM-0007,HIGH,True,REJECT,0,2eba52abc2ca45c6a7d16ca41e329886,life,combined_life_CLM-0007,combined,life_reject
APPROVE,CLM-0052,MEDIUM,True,APPROVE,0,5504aa89372949ec87318664650a403b,life,combined_life_CLM-0052,combined,life_refer
REJECT,CLM-0630,HIGH,False,APPROVE,0,453c1400eee6427a8c0bb4771c5447f1,life,combined_life_CLM-0630,combined,life_edge
REFER_FOR_FURTHER_REVIEW,CLM-0012,LOW,False,ERROR_OR_GRACEFUL_REJECT,0,345d11cbcdee414f82c6787dbcc2daef,life,combined_life_CLM-0012,combined,life_mismatch
APPROVE,CLM-0008,HIGH,True,APPROVE,0,f1759e74efc741d9bdab5337b727b490,health,combined_health_CLM-0008,combined,health_approve
REJECT,CLM-0308,HIGH,True,REJECT,0,1effac80781d4292ba51f7113006b284,health,combined_health_CLM-0308,combined,health_reject
APPROVE,CLM-0057,HIGH,True,APPROVE,0,0b06561a8abd47ffb31ff3a09054c920,health,combined_health_CLM-0057,combined,health_refer
REJECT,CLM-0912,HIGH,False,APPROVE,0,8c93d356efd544e985ca6c74d9e907a4,health,combined_health_CLM-0912,combined,health_edge
APPROVE,CLM-0008,MEDIUM,False,ERROR_OR_GRACEFUL_REJECT,2,ba3be2d3f7a040438598536c8023ee9e,health,combined_health_CLM-0008,combined,health_mismatch
APPROVE,CLM-0278,HIGH,True,APPROVE,0,7f56cda4870d4ae398ef67c25f21d390,critical_illness,combined_critical_illness_CLM-0278,combined,ci_approve
REJECT,CLM-0072,HIGH,True,REJECT,0,a7b9bbc94943480eacb73b67ab1f60e3,critical_illness,combined_critical_illness_CLM-0072,combined,ci_reject
APPROVE,CLM-0049,HIGH,True,APPROVE,0,fe353468c28c49759df7b7a3a97261e1,critical_illness,combined_critical_illness_CLM-0049,combined,ci_refer
APPROVE,CLM-0134,HIGH,False,REJECT,0,f9470b2c11f644faafc31be59464c8eb,critical_illness,combined_critical_illness_CLM-0134,combined,ci_edge
APPROVE,CLM-0278,MEDIUM,False,ERROR_OR_GRACEFUL_REJECT,0,f1c0ba7d85754ba98c8575a79d3f6a44,critical_illness,combined_critical_illness_CLM-0278,combined,ci_mismatch
REJECT,CLM-0006,HIGH,False,APPROVE,0,3f94773d55eb4970866514f80db1dcff,disability,combined_disability_CLM-0006,combined,disability_approve
REJECT,CLM-0612,HIGH,True,REJECT,0,bd5cb6163fb0417d9d50ab8c961088aa,disability,combined_disability_CLM-0612,combined,disability_reject
REJECT,CLM-0248,HIGH,False,REFER_FOR_FURTHER_REVIEW,0,ce65e8a6a5e74b8e8bc3acd0e08ebf81,disability,combined_disability_CLM-0248,combined,disability_refer
APPROVE,CLM-0724,HIGH,True,APPROVE,0,ea5561199bad404fb3fa8db73cc33403,disability,combined_disability_CLM-0724,combined,disability_edge
,CLM-0006,,False,ERROR_OR_GRACEFUL_REJECT,0,abed56f18e1343bca658a9a96e09dd4c,disability,combined_disability_CLM-0006,combined,disability_mismatch
