actual,claim_id,confidence,correct,expected,hallucinated_rule_count,mlflow_run_id,policy_type,run_name,strategy,test_id
REFER_FOR_FURTHER_REVIEW,CLM-0012,,False,APPROVE,0,c83823c404194fa8ad8fc8d91e8d7ec6,life,direct_life_CLM-0012,direct,life_approve
APPROVE,CLM-0012,,True,APPROVE,0,a3b65396d43e4dd4bebec01be4713a7a,life,cot_life_CLM-0012,cot,life_approve
REJECT,CLM-0012,HIGH,False,APPROVE,0,b5134c8aaf3d483e8aa352de0a04ef14,life,structured_life_CLM-0012,structured,life_approve
APPROVE,CLM-0012,HIGH,True,APPROVE,0,20bfc26788eb4b448e74a586127df6ea,life,combined_life_CLM-0012,combined,life_approve
REJECT,CLM-0007,,True,REJECT,0,80ed1ce5a3044175b70413d9e7782eab,life,direct_life_CLM-0007,direct,life_reject
REJECT,CLM-0007,,True,REJECT,0,b158921765954783afa04ac874441f12,life,cot_life_CLM-0007,cot,life_reject
REJECT,CLM-0007,HIGH,True,REJECT,0,154e02b2a5fd4871aa48acee7d204115,life,structured_life_CLM-0007,structured,life_reject
REJECT,CLM-0007,HIGH,True,REJECT,0,c7b185c9e0cc438bb0017a1ea1ee6367,life,combined_life_CLM-0007,combined,life_reject
APPROVE,CLM-0052,,True,APPROVE,0,e652c47d2772436db81b504260752c2c,life,direct_life_CLM-0052,direct,life_refer
APPROVE,CLM-0052,,True,APPROVE,0,351fcf43aae8418796c7a13e8acb13fa,life,cot_life_CLM-0052,cot,life_refer
REFER_FOR_FURTHER_REVIEW,CLM-0052,HIGH,False,APPROVE,0,c5ad4a06f7204fa0b178a90f16907a5f,life,structured_life_CLM-0052,structured,life_refer
REFER_FOR_FURTHER_REVIEW,CLM-0052,LOW,False,APPROVE,0,b2b415db74c84d2ea2f6772fd9c1fc57,life,combined_life_CLM-0052,combined,life_refer
APPROVE,CLM-0630,,True,APPROVE,0,bea3f3225a5348209b254f81ed0c8a51,life,direct_life_CLM-0630,direct,life_edge
REFER_FOR_FURTHER_REVIEW,CLM-0630,,False,APPROVE,0,e61ef637da8440fe9f5c6bf973b5995e,life,cot_life_CLM-0630,cot,life_edge
APPROVE,CLM-0630,HIGH,True,APPROVE,0,f125b1dd316d4b71b97b794a1783dc4f,life,structured_life_CLM-0630,structured,life_edge
APPROVE,CLM-0630,HIGH,True,APPROVE,0,a50f0668723143dfaf14c7557c91d4aa,life,combined_life_CLM-0630,combined,life_edge
REJECT,CLM-0012,HIGH,True,ERROR_OR_GRACEFUL_REJECT,2,ca88d6abf9604b4d9e4ad2fe6e624468,life,combined_life_CLM-0012,combined,life_mismatch
APPROVE,CLM-0008,,True,APPROVE,0,339d03727f1348c5a06cdf23f5cc258f,health,direct_health_CLM-0008,direct,health_approve
APPROVE,CLM-0008,,True,APPROVE,0,4f73987f77b64cbcbccdc4aa2fe60b5f,health,cot_health_CLM-0008,cot,health_approve
APPROVE,CLM-0008,HIGH,True,APPROVE,0,5fb151d871534fc3b6439212aac987b1,health,structured_health_CLM-0008,structured,health_approve
