actual,claim_id,confidence,correct,expected,hallucinated_rule_count,mlflow_run_id,policy_type,run_name,strategy,test_id
REJECT,CLM-0012,HIGH,False,APPROVE,0,39e92d2aceef4dadbb121157eebecf71,life,combined_life_CLM-0012,combined,life_approve
REJECT,CLM-0007,HIGH,True,REJECT,0,435ad5cd1f5142feb58f77f0f87bf430,life,combined_life_CLM-0007,combined,life_reject
APPROVE,CLM-0052,HIGH,True,APPROVE,0,d2eb1026e2754f49b86d5717c8247a62,life,combined_life_CLM-0052,combined,life_refer
REJECT,CLM-0630,HIGH,False,APPROVE,0,e33a3d697e1743aab047d08172273765,life,combined_life_CLM-0630,combined,life_edge
APPROVE,CLM-0012,MEDIUM,False,ERROR_OR_GRACEFUL_REJECT,0,50895e4aa0a24100b558c178d0697d4d,life,combined_life_CLM-0012,combined,life_mismatch
APPROVE,CLM-0008,HIGH,True,APPROVE,0,c5c517a108094205bf305f45f9c784a5,health,combined_health_CLM-0008,combined,health_approve
REJECT,CLM-0308,HIGH,True,REJECT,0,8a24c3e9beca46ca92fc655c4b4ead3d,health,combined_health_CLM-0308,combined,health_reject
APPROVE,CLM-0057,HIGH,True,APPROVE,0,739d95ed52d6491d9dde5b6328bd5d83,health,combined_health_CLM-0057,combined,health_refer
APPROVE,CLM-0912,HIGH,True,APPROVE,0,4629cd95b6334bef8f6acd3ceec9bc43,health,combined_health_CLM-0912,combined,health_edge
APPROVE,CLM-0008,MEDIUM,False,ERROR_OR_GRACEFUL_REJECT,2,6fb5b6854c9c4475a4411a352051a271,health,combined_health_CLM-0008,combined,health_mismatch
APPROVE,CLM-0278,HIGH,True,APPROVE,0,e2ac24cc8faf43139c0053aeff28e6f8,critical_illness,combined_critical_illness_CLM-0278,combined,ci_approve
REJECT,CLM-0072,HIGH,True,REJECT,0,6c46204e68394490b9b90cd1c2814ac6,critical_illness,combined_critical_illness_CLM-0072,combined,ci_reject
ERROR,CLM-0049,,False,APPROVE,0,87913e56e0a048238e68991e71259e48,critical_illness,combined_critical_illness_CLM-0049,combined,ci_refer
APPROVE,CLM-0134,HIGH,False,REJECT,0,728b571b96b04f698b28672cd1a6f4ba,critical_illness,combined_critical_illness_CLM-0134,combined,ci_edge
APPROVE,CLM-0278,MEDIUM,False,ERROR_OR_GRACEFUL_REJECT,0,119a62c25d8d4431a99741ef5aea15a8,critical_illness,combined_critical_illness_CLM-0278,combined,ci_mismatch
REJECT,CLM-0006,MEDIUM,False,APPROVE,0,f0c3fe5875084d6595b1aea325ea5901,disability,combined_disability_CLM-0006,combined,disability_approve
REJECT,CLM-0612,HIGH,True,REJECT,0,8e43ca0e0ddd4a059a36a374b546d364,disability,combined_disability_CLM-0612,combined,disability_reject
REFER_FOR_FURTHER_REVIEW,CLM-0248,LOW,True,REFER_FOR_FURTHER_REVIEW,0,52f55aa80e5842f898e7dd29082d384d,disability,combined_disability_CLM-0248,combined,disability_refer
APPROVE,CLM-0724,HIGH,True,APPROVE,0,0e81ce75ad5a4d8a9e591da3a100c055,disability,combined_disability_CLM-0724,combined,disability_edge
APPROVE,CLM-0006,HIGH,False,ERROR_OR_GRACEFUL_REJECT,0,b9c28e4b6df84f538645903d3dd4e6db,disability,combined_disability_CLM-0006,combined,disability_mismatch
